file,frame,x1,y1,x2,y1,latitude,longitude,category,length,normalized_length
SPDB4522.MP4,20,1250,1201,1451,1430,25.73345,48.673483,1,305.507,0.094
SPDB4522.MP4,25,1393,1209,1797,1430,25.73345,48.673483,3,460.961,0.142
SPDB4522.MP4,65,1583,1221,2242,1444,25.733667,48.673733,3,696.761,0.215
SPDB4522.MP4,75,1243,1191,2000,1452,25.7339,48.673983,3,801.656,0.247
SPDB4522.MP4,80,1493,1213,1956,1445,25.7339,48.673983,1,518.329,0.16
SPDB4522.MP4,80,1149,1216,1294,1417,25.7339,48.673983,1,248.748,0.077
SPDB4522.MP4,95,1464,1213,2179,1455,25.7339,48.673983,3,755.017,0.233
SPDB4522.MP4,105,1276,1180,1954,1439,25.734133,48.674233,3,726.169,0.224
SPDB4522.MP4,145,1419,1216,1725,1440,25.734367,48.674467,1,380.031,0.117
SPDB4522.MP4,195,854,1215,1304,1441,25.734833,48.674967,3,504.355,0.156
SPDB4522.MP4,195,1275,1177,1641,1377,25.734833,48.674967,3,417.587,0.129
SPDB4522.MP4,200,1276,1181,1861,1434,25.734833,48.674967,3,637.75,0.197
SPDB4522.MP4,205,1264,1199,1422,1466,25.734833,48.674967,1,310.716,0.096
SPDB4522.MP4,205,951,1234,1219,1397,25.734833,48.674967,3,314.109,0.097
SPDB4522.MP4,210,1320,1213,1479,1476,25.734833,48.674967,1,308.112,0.095
SPDB4522.MP4,220,1266,1189,1391,1410,25.735083,48.6752,1,254.609,0.079
SPDB4522.MP4,225,1334,1195,1905,1447,25.735083,48.6752,3,625.116,0.193
SPDB4522.MP4,230,1303,1253,1429,1446,25.735083,48.6752,1,231.087,0.071
SPDB4522.MP4,240,871,1191,1333,1428,25.735083,48.6752,3,519.898,0.16
SPDB4522.MP4,250,954,1192,1281,1443,25.735083,48.6752,4,412.766,0.127
SPDB4522.MP4,250,1315,1248,1463,1467,25.735083,48.6752,1,264.877,0.082
SPDB4522.MP4,255,942,1192,1418,1432,25.735317,48.675433,3,534.087,0.165
SPDB4522.MP4,265,1246,1194,2044,1449,25.735317,48.675433,3,838.322,0.259
SPDB4522.MP4,265,1230,1136,1407,1430,25.735317,48.675433,1,344.159,0.106
SPDB4522.MP4,275,909,1235,1341,1440,25.735317,48.675433,3,478.771,0.148
SPDB4522.MP4,285,1076,1161,2137,1483,25.73555,48.675667,3,1109.119,0.342
SPDB4522.MP4,290,1296,1189,1820,1451,25.73555,48.675667,3,586.252,0.181
SPDB4522.MP4,295,1308,1205,1496,1446,25.73555,48.675667,1,306.421,0.095
SPDB4522.MP4,310,873,1154,2045,1467,25.73555,48.675667,3,1213.66,0.375
SPDB4522.MP4,315,933,1182,1460,1430,25.7358,48.6759,3,583.36,0.18
