file,frame,latitude,longitude,category,length,normalized_length
roaddamage.mp4,10,None,None,4,222.827,0.101
roaddamage.mp4,10,None,None,4,130.155,0.059
roaddamage.mp4,10,None,None,4,167.908,0.076
roaddamage.mp4,20,None,None,4,142.177,0.065
roaddamage.mp4,20,None,None,4,120.947,0.055
roaddamage.mp4,20,None,None,4,145.59,0.066
roaddamage.mp4,30,None,None,4,149.182,0.068
roaddamage.mp4,30,None,None,4,140.589,0.064
roaddamage.mp4,30,None,None,4,138.355,0.063
roaddamage.mp4,30,None,None,4,149.49,0.068
roaddamage.mp4,40,None,None,4,188.67,0.086
roaddamage.mp4,40,None,None,4,154.599,0.07
roaddamage.mp4,40,None,None,2,578.835,0.263
roaddamage.mp4,40,None,None,4,171.457,0.078
roaddamage.mp4,40,None,None,4,294.285,0.134
roaddamage.mp4,50,None,None,2,564.742,0.256
roaddamage.mp4,50,None,None,1,346.244,0.157
roaddamage.mp4,50,None,None,2,433.325,0.197
roaddamage.mp4,50,None,None,1,149.709,0.068
roaddamage.mp4,50,None,None,4,117.095,0.053
roaddamage.mp4,60,None,None,1,405.132,0.184
roaddamage.mp4,60,None,None,3,479.503,0.218
roaddamage.mp4,60,None,None,2,336.718,0.153
roaddamage.mp4,70,None,None,3,1102.537,0.5
roaddamage.mp4,70,None,None,4,170.045,0.077
roaddamage.mp4,80,None,None,4,137.046,0.062
roaddamage.mp4,90,None,None,4,150.747,0.068
roaddamage.mp4,90,None,None,4,138.622,0.063
roaddamage.mp4,90,None,None,4,131.863,0.06
roaddamage.mp4,100,None,None,4,173.28,0.079
roaddamage.mp4,100,None,None,4,288.608,0.131
roaddamage.mp4,100,None,None,2,551.931,0.251
roaddamage.mp4,110,None,None,4,135.791,0.062
roaddamage.mp4,110,None,None,4,140.06,0.064
roaddamage.mp4,110,None,None,4,98.03,0.045
roaddamage.mp4,120,None,None,4,133.47,0.061
roaddamage.mp4,120,None,None,1,213.502,0.097
roaddamage.mp4,120,None,None,4,149.433,0.068
roaddamage.mp4,130,None,None,4,217.345,0.099
roaddamage.mp4,130,None,None,1,294.162,0.134
roaddamage.mp4,130,None,None,1,671.967,0.305
roaddamage.mp4,140,None,None,4,287.655,0.131
roaddamage.mp4,140,None,None,1,477.806,0.217
roaddamage.mp4,140,None,None,4,172.559,0.078
roaddamage.mp4,150,None,None,4,388.363,0.176
roaddamage.mp4,150,None,None,4,300.025,0.136
roaddamage.mp4,150,None,None,4,145.487,0.066
roaddamage.mp4,150,None,None,4,531.171,0.241
roaddamage.mp4,150,None,None,4,360.113,0.163
roaddamage.mp4,160,None,None,4,197.056,0.089
roaddamage.mp4,160,None,None,4,522.535,0.237
roaddamage.mp4,160,None,None,4,773.901,0.351
roaddamage.mp4,170,None,None,4,191.62,0.087
roaddamage.mp4,180,None,None,4,200.248,0.091
roaddamage.mp4,180,None,None,4,502.561,0.228
roaddamage.mp4,180,None,None,4,228.252,0.104
roaddamage.mp4,190,None,None,4,271.467,0.123
roaddamage.mp4,190,None,None,4,298.769,0.136
roaddamage.mp4,200,None,None,4,464.412,0.211
roaddamage.mp4,200,None,None,4,223.594,0.101
roaddamage.mp4,200,None,None,4,798.933,0.363
roaddamage.mp4,210,None,None,4,156.549,0.071
roaddamage.mp4,210,None,None,4,607.229,0.276
roaddamage.mp4,220,None,None,3,661.488,0.3
roaddamage.mp4,230,None,None,3,751.678,0.341
roaddamage.mp4,240,None,None,4,223.249,0.101
roaddamage.mp4,240,None,None,1,481.213,0.218
roaddamage.mp4,250,None,None,4,207.403,0.094
roaddamage.mp4,260,None,None,1,503.844,0.229
roaddamage.mp4,260,None,None,4,126.656,0.057
roaddamage.mp4,270,None,None,4,168.969,0.077
roaddamage.mp4,270,None,None,4,189.055,0.086
roaddamage.mp4,270,None,None,4,197.39,0.09
roaddamage.mp4,270,None,None,4,133.78,0.061
roaddamage.mp4,270,None,None,4,366.872,0.167
roaddamage.mp4,280,None,None,4,270.706,0.123
roaddamage.mp4,280,None,None,4,406.77,0.185
roaddamage.mp4,290,None,None,1,937.897,0.426
roaddamage.mp4,290,None,None,1,417.569,0.19
roaddamage.mp4,300,None,None,4,289.224,0.131
roaddamage.mp4,300,None,None,4,151.353,0.069
roaddamage.mp4,300,None,None,1,438.889,0.199
roaddamage.mp4,300,None,None,4,316.51,0.144
roaddamage.mp4,300,None,None,4,286.52,0.13
roaddamage.mp4,310,None,None,4,174.628,0.079
roaddamage.mp4,310,None,None,1,838.892,0.381
roaddamage.mp4,310,None,None,1,450.051,0.204
roaddamage.mp4,310,None,None,1,760.885,0.345
roaddamage.mp4,310,None,None,4,168.31,0.076
roaddamage.mp4,310,None,None,4,277.98,0.126
roaddamage.mp4,320,None,None,4,235.224,0.107
roaddamage.mp4,320,None,None,4,285.739,0.13
roaddamage.mp4,320,None,None,4,343.761,0.156
roaddamage.mp4,320,None,None,4,127.342,0.058
roaddamage.mp4,320,None,None,4,731.284,0.332
roaddamage.mp4,320,None,None,4,190.277,0.086
roaddamage.mp4,320,None,None,4,327.198,0.149
roaddamage.mp4,320,None,None,4,230.428,0.105
roaddamage.mp4,330,None,None,4,559.905,0.254
roaddamage.mp4,330,None,None,4,656.215,0.298
roaddamage.mp4,330,None,None,4,717.162,0.326
roaddamage.mp4,340,None,None,4,905.113,0.411
roaddamage.mp4,340,None,None,4,278.752,0.127
roaddamage.mp4,350,None,None,4,174.492,0.079
roaddamage.mp4,350,None,None,4,826.216,0.375
roaddamage.mp4,350,None,None,4,458.629,0.208
roaddamage.mp4,360,None,None,4,261.327,0.119
roaddamage.mp4,360,None,None,4,236.893,0.108
roaddamage.mp4,360,None,None,4,142.642,0.065
roaddamage.mp4,360,None,None,4,242.96,0.11
roaddamage.mp4,360,None,None,4,569.469,0.259
roaddamage.mp4,370,None,None,4,199.869,0.091
roaddamage.mp4,370,None,None,4,343.554,0.156
roaddamage.mp4,370,None,None,4,150.283,0.068
roaddamage.mp4,370,None,None,4,653.502,0.297
roaddamage.mp4,370,None,None,4,415.232,0.188
roaddamage.mp4,380,None,None,4,537.29,0.244
roaddamage.mp4,380,None,None,4,149.497,0.068
roaddamage.mp4,380,None,None,4,117.233,0.053
roaddamage.mp4,380,None,None,4,148.493,0.067
roaddamage.mp4,380,None,None,4,345.449,0.157
roaddamage.mp4,390,None,None,4,209.83,0.095
roaddamage.mp4,390,None,None,4,160.752,0.073
roaddamage.mp4,390,None,None,1,141.855,0.064
roaddamage.mp4,390,None,None,4,176.898,0.08
roaddamage.mp4,390,None,None,4,442.018,0.201
roaddamage.mp4,400,None,None,4,311.482,0.141
roaddamage.mp4,400,None,None,4,201.92,0.092
roaddamage.mp4,400,None,None,2,421.554,0.191
roaddamage.mp4,410,None,None,4,356.927,0.162
roaddamage.mp4,410,None,None,4,248.058,0.113
roaddamage.mp4,410,None,None,1,469.132,0.213
roaddamage.mp4,420,None,None,4,144.188,0.065
roaddamage.mp4,420,None,None,4,167.83,0.076
roaddamage.mp4,420,None,None,4,132.306,0.06
roaddamage.mp4,420,None,None,4,164.617,0.075
roaddamage.mp4,420,None,None,4,172.773,0.078
roaddamage.mp4,420,None,None,4,690.64,0.314
roaddamage.mp4,420,None,None,4,350.18,0.159
roaddamage.mp4,430,None,None,4,195.918,0.089
roaddamage.mp4,430,None,None,4,179.058,0.081
roaddamage.mp4,430,None,None,4,260.338,0.118
roaddamage.mp4,430,None,None,4,165.692,0.075
roaddamage.mp4,430,None,None,4,165.176,0.075
roaddamage.mp4,440,None,None,3,1093.507,0.496
roaddamage.mp4,440,None,None,3,407.801,0.185
roaddamage.mp4,440,None,None,4,119.612,0.054
roaddamage.mp4,440,None,None,4,116.447,0.053
roaddamage.mp4,450,None,None,4,219.825,0.1
roaddamage.mp4,450,None,None,4,168.868,0.077
roaddamage.mp4,450,None,None,4,357.082,0.162
roaddamage.mp4,450,None,None,1,465.373,0.211
roaddamage.mp4,450,None,None,4,864.612,0.392
roaddamage.mp4,460,None,None,4,217.895,0.099
roaddamage.mp4,460,None,None,4,127.486,0.058
roaddamage.mp4,460,None,None,1,580.284,0.263
roaddamage.mp4,470,None,None,4,166.346,0.076
roaddamage.mp4,470,None,None,4,131.092,0.06
roaddamage.mp4,470,None,None,1,589.147,0.267
roaddamage.mp4,470,None,None,1,320.256,0.145
roaddamage.mp4,480,None,None,4,138.954,0.063
roaddamage.mp4,480,None,None,1,639.065,0.29
roaddamage.mp4,480,None,None,4,255.078,0.116
roaddamage.mp4,490,None,None,4,186.541,0.085
roaddamage.mp4,490,None,None,1,510.691,0.232
roaddamage.mp4,490,None,None,4,245.802,0.112
roaddamage.mp4,490,None,None,4,453.341,0.206
roaddamage.mp4,500,None,None,4,246.901,0.112
